date,Python,C,C++,Java,C#,JS,Go,VB,SQL,Fortran
2001-05,1.25,20.24,14.20,26.49,0.38,1.55,0,0,2.96,1.41
2001-06,1.13,20.77,16.11,25.03,0.43,1.72,0,0,2.77,1.31
2001-07,1.20,20.75,16.12,24.66,0.38,1.66,0,0,2.38,1.46
2001-08,1.17,20.77,15.85,24.82,0.39,1.63,0,0,2.36,1.40
2001-09,1.28,19.75,16.10,25.68,0.42,1.51,0,0,2.24,1.32
2001-10,1.23,19.21,15.67,24.37,0.76,1.47,0,0,1.84,1.29
2001-11,1.04,20.14,14.96,24.20,0.59,1.46,0,0,1.87,1.23
2002-01,0.99,19.89,15.54,24.01,0.74,1.48,0,0,2.09,1.27
2002-02,0.99,19.85,15.91,24.41,0.74,1.47,0,0,2.06,1.27
2002-03,1.07,19.82,15.37,25.05,1.18,1.37,0,0,2.33,1.28
2002-04,1.06,19.99,14.86,25.19,1.16,1.36,0,0,2.36,1.26
2002-05,1.13,19.57,14.18,24.20,1.46,1.43,0,0,2.53,1.28
2002-06,1.08,19.25,14.94,24.53,1.36,1.15,0,0,2.66,1.05
2002-07,1.22,18.16,14.77,22.89,1.46,2.02,0,0,2.65,1.16
2002-08,1.08,18.70,15.90,24.48,1.65,1.91,0,0,2.54,1.14
2002-09,1.19,18.73,15.03,24.20,1.78,1.98,0,0,2.64,1.19
2002-10,1.00,17.50,13.64,24.12,2.38,2.49,0,0,2.38,1.22
2002-11,1.00,17.26,13.19,24.23,2.45,2.42,0,0,2.52,1.24
2002-12,1.02,18.83,15.18,24.06,0.62,2.73,0,0,1.94,1.23
2003-01,0.97,18.54,15.53,24.78,1.98,2.81,0,0,2.51,1.07
2003-02,0.99,17.21,14.57,24.60,2.38,2.63,0,0,2.56,0.96
2003-03,1.01,18.02,15.80,24.66,1.88,3.26,0,0,2.65,0.87
2003-04,1.16,18.50,15.58,23.11,1.94,1.72,0,0,3.12,0.91
2003-05,1.28,18.52,16.72,22.34,1.78,1.69,0,0,3.04,0.94
2003-06,1.30,17.97,16.58,23.21,2.00,1.79,0,0,2.99,0.87
2003-07,1.42,17.78,17.53,22.24,2.06,1.90,0,0,3.24,0.83
2003-08,1.49,18.31,16.17,21.90,1.94,1.66,0,0,3.72,0.73
