date,May-01,Jun-01,Jul-01,Aug-01,Sep-01,Oct-01,Nov-01,Jan-02,Feb-02,Mar-02,Apr-02,May-02,Jun-02,Jul-02,Aug-02,Sep-02,Oct-02,Nov-02,Dec-02,Jan-03,Feb-03,Mar-03,Apr-03,May-03,Jun-03,Jul-03,Aug-03,Sep-03,Oct-03,Nov-03,Dec-03,Jan-04,Feb-04,Mar-04,Apr-04,May-04,Jun-04,Jul-04,Aug-04,Sep-04,Oct-04,Nov-04,Dec-04,Jan-05,Feb-05,Mar-05,Apr-05,May-05,Jun-05,Jul-05,Aug-05,Nov-05,Dec-05,Jan-06,Feb-06,Mar-06,Apr-06,May-06,Jun-06,Jul-06,Aug-06,Sep-06,Oct-06,Nov-06,Dec-06,Jan-07,Feb-07,Mar-07,Apr-07,May-07,Jun-07,Jul-07,Aug-07,Sep-07,Oct-07,Nov-07,Dec-07,Jan-08,May-08,Jun-08,Jul-08,Aug-08,Sep-08,Oct-08,Nov-08,Dec-08,Jan-09,Feb-09,Mar-09,Apr-09,May-09,Jun-09,Jul-09,Aug-09,Sep-09,Oct-09,Nov-09,Dec-09,Jan-10,Feb-10,Mar-10,Apr-10,Jun-10,Aug-10,Sep-10,Oct-10,Nov-10,Dec-10,Jan-11,Feb-11,Mar-11,Apr-11,May-11,Jun-11,Jul-11,Aug-11,Sep-11,Oct-11,Nov-11,Dec-11,Jan-12,Feb-12,Mar-12,Apr-12,May-12,Jun-12,Jul-12,Aug-12,Sep-12,Oct-12,Nov-12,Dec-12,Jan-13,Feb-13,Mar-13,Apr-13,May-13,Jun-13,Jul-13,Aug-13,Sep-13,Oct-13,Nov-13,Dec-13,Jan-14,Feb-14,Mar-14,Apr-14,May-14,Jun-14,Jul-14,Aug-14,Sep-14,Oct-14,Nov-14,Dec-14,Jan-15,Feb-15,Mar-15,Apr-15,May-15,Jun-15,Jul-15,Aug-15,Sep-15,Oct-15,Nov-15,Dec-15,Jan-16,Feb-16,Mar-16,Apr-16,May-16,Jun-16,Jul-16,Aug-16,Sep-16,Oct-16,Nov-16,Dec-16,Jan-17,Feb-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Oct-19,Nov-19,Dec-19,Jan-20,Feb-20,Mar-20,Apr-20,May-20,Jun-20,Jul-20,Aug-20,Sep-20,Oct-20,Nov-20,Dec-20,Jan-21,Feb-21,Mar-21,Apr-21,May-21,Jun-21,Jul-21,Aug-21,Sep-21,Oct-21,Nov-21,Dec-21,Jan-22,Feb-22,Mar-22,Apr-22,May-22,Jun-22,Jul-22,Aug-22,Sep-22,Oct-22,Nov-22,Dec-22,Jan-23,Feb-23,Mar-23,Apr-23,May-23,Jun-23,Jul-23,Aug-23,Sep-23,Oct-23,Nov-23,Dec-23,Jan-24,Feb-24
Python,1.25,1.13,1.2,1.17,1.28,1.23,1.04,0.99,0.99,1.07,1.06,1.13,1.08,1.22,1.08,1.19,1,1,1.02,0.97,0.99,1.01,1.16,1.28,1.3,1.42,1.49,1.77,1.1,1.13,1.03,1.02,1.01,4.57,6.58,4.96,4.7,5.6,4.44,5.2,3.03,2.84,1.01,2.42,2.7,2.48,2.8,2.52,2.88,3.03,2.88,2.68,2.51,2.67,3.09,2.76,3.04,3.46,3.02,3.07,3.14,3.47,3.64,3.76,2.6,3.57,3.9,3.81,3.78,3.16,3.02,2.75,3.03,3.43,4.23,4.7,3.5,4.76,4.9,4.97,4.98,5.01,4.56,5.14,4.17,5.54,4.57,5.18,6.08,5.55,4.76,4.43,4.49,3.93,3.9,4.67,5.19,4.73,4.31,4.23,4.21,4.1,4.22,4.58,4.86,5.68,6.48,4.45,7.04,5.74,4.93,4.58,3.9,3.58,3.41,4,3.94,3.62,3.49,6.26,3.15,3.29,3.66,3.82,3.85,4,3.88,3.86,3.9,4.06,3.85,3.21,4.95,4.39,4.44,4.32,4.18,4.03,3.6,3.17,3.11,3.11,2.21,4.17,2.16,2.02,1.99,3.06,2.71,2.66,3.12,2.78,2.33,2.59,2.29,2.37,2.88,2.61,2.69,3.72,4,4.26,4.07,3.66,4.51,3.77,4.43,2.61,4.18,4.26,3.33,3.79,3.9,4.17,4.4,4.3,3.77,3.57,4.24,3.85,4.04,3.92,3.46,3.55,4.33,3.54,3.69,2.98,3.8,4.48,3.78,3.46,5.17,5.87,5.8,5.19,5.76,6.36,6.99,7.65,7.16,7.68,8.38,4.68,7.57,8.26,8.17,7.83,8.53,9.26,10.02,9.87,9.09,9.84,10.31,8.29,9.35,10.11,9.31,9.12,8.36,9.09,9.69,10.47,11.28,12.12,12.21,9.7,10.86,10.31,11.03,11.87,11.84,10.96,11.86,11.67,11.27,11.77,12.9,11.72,15.33,14.26,13.92,12.74,12.2,13.44,15.63,15.74,17.08,17.18,16.36,13.58,15.49,14.83,14.51,13.45,12.46,13.42,13.33,14.16,14.82,14.16,13.86,13.97,15.16,15.63
C,20.24,20.77,20.75,20.77,19.75,19.21,20.14,19.89,19.85,19.82,19.99,19.57,19.25,18.16,18.7,18.73,17.5,17.26,18.83,18.54,17.21,18.02,18.5,18.52,17.97,17.78,18.31,17,18.47,18.6,18.25,18.93,17.75,17.95,18.29,17.14,16.33,17.12,18.17,17.99,19.7,20.71,18.2,19.47,18.63,18.52,19.37,19.85,19.47,19.16,18.77,19.63,19.82,18.33,17.79,17.69,17.69,18.25,17.83,17.43,18.06,17.66,17.2,16.62,19.01,16.1,15.63,14.94,15.15,15.97,16.36,15.7,14.91,14.59,13.97,13.17,15.81,14.86,15.51,15.95,16.18,15.38,15.57,15.28,15.02,13.92,15.84,15.86,15.47,16.13,16.78,17.32,17.22,16.86,16.84,17.32,16.28,15.93,16.6,17.28,18.06,18.19,17.87,17.15,17.18,16.72,16.08,16.22,14.99,15.26,16.16,16.17,16.28,17.28,17.39,18,17.71,17.32,17.06,15.82,16.52,17.09,17.55,17.35,17.72,18.33,18.94,19.3,19.82,19.22,18.7,16.97,17.08,17.14,17.86,18.73,17.81,17.63,15.97,16.98,17.25,18.16,17.89,17.85,18.33,17.53,17.63,16.93,16.19,17.14,16.4,16.72,17.66,17.47,17.59,17.94,16.49,16.64,15.75,16.85,16.79,16.15,14.73,15.62,16.19,17.15,16.46,16.7,15.59,14.6,13.91,13.22,12.38,12.24,11.3,10.95,9.84,9.2,8.73,16.04,8.44,7.74,6.97,7,6.85,7.32,6.48,7.38,8.37,9.29,10.16,9.35,11.86,12.76,13.59,14,14.94,14.66,14.97,15.45,15.38,14.4,14.28,11.04,12.42,13.31,14.08,14.24,13.3,14.21,15.15,15.21,16.18,16.04,16.09,13.34,16.77,16.33,16.72,17.07,17.19,16.45,16.98,15.95,16.95,16.21,16.48,15.77,16.34,15.33,14.32,13.38,12.54,11.63,12.57,11.83,11.16,10.72,11.8,17.38,14.08,13.06,12.71,11.59,11.91,13.13,14.76,13.96,15.21,15.08,16.26,12.44,15.39,14.73,14.41,13.35,12.37,11.56,11.41,11.27,12.08,11.77,11.44,11.44,10.97,11.17
C++,14.2,16.11,16.12,15.85,16.1,15.67,14.96,15.54,15.91,15.37,14.86,14.18,14.94,14.77,15.9,15.03,13.64,13.19,15.18,15.53,14.57,15.8,15.58,16.72,16.58,17.53,16.17,16.31,17.42,16.08,14.63,14.5,15.99,12.27,12.55,13.44,15.31,14.92,15.02,13.86,11.91,11.93,15.71,11.63,10.19,9.9,9.72,11.06,10.51,11.17,11.82,11.03,11.34,11.3,11.16,10.9,10.94,10.67,9.78,10.25,10.75,11.06,11.05,10.41,11.46,10.77,11.11,10.72,10.11,11.12,10.5,10.11,9.94,9.58,8.75,7.87,10.42,9.27,10.81,10.69,10.06,10.72,10.95,10.36,10.1,8.73,9.63,10.36,10.74,11.07,10.59,10.42,10.5,9.99,9.88,10,9.18,10.12,9.45,9.61,9.71,10.38,9.66,9.81,9.8,9.5,9.01,9.71,8.19,8.75,9.23,9.15,9.83,9.02,8.43,8.85,9.07,8.08,8.25,8.78,7.85,8.05,8.9,9.82,9.36,9.12,9.33,9.15,9.26,9.7,9.2,8.05,8.76,9.11,9.71,9.2,8.82,8.75,9.37,8.66,8.66,8.37,8.27,9.14,6.89,6.31,6.14,5.99,6.43,5.52,4.7,4.67,4.87,6.1,6.1,7.56,6.61,6.64,6.96,7.87,7.76,8.64,7.74,6.78,5.75,6.2,5.94,6.7,6.91,6.72,5.92,6.7,6.2,6.31,5.8,6.66,5.8,5.41,5.34,6.91,5.43,5.18,4.55,4.75,5.72,5.58,5.55,5.56,5.01,5.34,4.72,6.3,5.73,6.45,7.22,7.67,8.34,7.62,7.47,7.39,7.59,8.28,7.56,5.6,7.44,8.13,8.84,8.1,7.38,6.7,6.06,5.64,6.23,5.6,6.2,8.16,6.16,6.79,6.78,6.13,5.95,6.21,6.84,7.11,6.94,7.6,6.91,5.57,6.88,6.52,7.14,7.81,7.36,8.02,7.36,7.13,7.5,8.28,7.73,7.56,8.01,8.66,8.28,8.83,9.63,10,10.14,9.76,9.92,10.75,12.91,8.29,13.94,13.29,12.96,11.96,11.36,10.8,10.63,10.65,10.67,10.36,10.01,9.96,10.53,10.7
Java,26.49,25.03,24.66,24.82,25.68,24.37,24.2,24.01,24.41,25.05,25.19,24.2,24.53,22.89,24.48,24.2,24.12,24.23,24.06,24.78,24.6,24.66,23.11,22.34,23.21,22.24,21.9,23.08,25.01,23.57,24.79,23.17,24.24,18.69,17.54,17.05,17,15.9,17.05,14.8,16.33,17.48,22.56,18.87,16.98,17.4,18.57,19.66,21.21,22.44,21.87,22.13,18.34,22.43,21.89,21.28,21.32,21.13,21.85,22.38,21.53,21.17,20.4,19.91,22.25,18.98,18.04,18.36,19.14,20.03,21.01,21.77,21.7,21.62,20.54,20.05,19.16,21.48,20.89,21.34,21.57,20.71,20.95,20.3,17.92,20.85,19.4,19.8,19.34,19.54,20.15,20.45,19.53,19.38,18.65,18.37,17.06,19.02,17.35,17.51,18.05,17.96,17.99,17.92,18.17,18.51,18,17.48,18.48,19.71,19.04,18.16,18.58,19.25,19.41,18.76,17.91,17.87,17.56,17.77,17.05,17.11,17.03,16.6,16.26,16.09,16.35,16.27,17.19,17.46,17.57,17.47,18.39,18.16,17.68,16.91,16.66,15.91,15.98,16.15,16.11,16.52,17.31,17.42,17.32,16.41,17.35,16.91,16.11,15.69,14.98,14.14,13.51,14.39,14.96,16.52,15.34,15.58,16.04,16.87,17.82,17.73,19.27,19.56,19.54,20.4,20.97,15.53,21.14,20.53,20.85,20.96,20.79,19.8,19.01,18.24,18.8,18.75,17.86,21.47,16.68,16.38,15.57,14.64,14.49,13.77,12.96,12.69,12.43,13.23,13.27,17.28,14.99,14.94,15.78,16.38,15.37,16.14,16.88,17.44,17.8,16.75,15.93,14.22,15.88,14.88,15.04,16,15,15.06,16.03,16.66,16.88,16.25,17.25,16.9,17.36,17.78,16.73,16.28,16.1,15.1,14.43,13.48,12.56,11.68,12.53,16.9,11.29,10.45,11.23,11.74,11.54,11.2,10.43,11.12,10.46,10.72,10.12,11.96,12.13,11.19,10.82,10.99,10.47,11.59,12.46,11.72,12.84,11.98,12.21,10.66,13.21,13.56,13.23,12.22,11.28,10.5,10.33,9.49,8.92,8.35,7.99,7.87,8.88,8.95
C#,0.38,0.43,0.38,0.39,0.42,0.76,0.59,0.74,0.74,1.18,1.16,1.46,1.36,1.46,1.65,1.78,2.38,2.45,0.62,1.98,2.38,1.88,1.94,1.78,2,2.06,1.94,1.9,1.71,1.8,1.99,2.24,2.14,1.88,1.65,1.67,1.63,1.63,1.64,1.5,1.95,2.2,2.18,2.53,2.82,2.77,2.78,3.14,3.48,3.29,3.46,3.31,2.36,3.97,3.15,3.95,3.27,3.24,3.4,2.68,2.99,3.06,3.02,3.17,3.55,3.19,3.37,3.55,3.66,3.48,3.71,3.99,3.58,3.74,3.92,3.99,3.52,4.51,4.06,4,3.7,4.33,3.77,4.03,4.58,4.86,5.06,4.32,4.06,4.27,4.54,4.54,4.44,4.19,4.42,5.35,6.26,5.61,5.01,4.26,4.43,4.78,4.99,5.02,4.96,5.71,6.69,5.77,6.81,7.21,7.19,7.54,6.84,6.22,6.04,6.82,6.72,7.32,8.21,6.23,8.65,8.24,7.35,6.82,7.03,6.67,6.59,6.6,6.53,5.59,5.55,8.76,6.68,6.6,6.15,6.12,5.78,6.21,6.12,5.56,5.72,6.02,5.62,6.2,6.45,5.57,4.82,3.75,3.94,4.05,3.41,4.35,4.75,4.98,4.33,5.85,5.74,4.92,4.95,5.26,5.06,5.65,4.84,4.91,4.82,4.32,4.11,5.05,4.4,4.27,3.8,4.48,3.79,3.92,4.91,5.49,4.37,3.66,3.17,4.71,4.9,4.41,3.58,3.46,3.53,3.52,4.2,4.78,3.86,3.01,2.82,4.04,4.45,5.07,5.27,4.4,4.31,3.79,3.54,3.3,3.49,3.95,3.45,3.75,2.85,3.27,3.52,3.98,4.48,4.36,3.84,3.4,3.86,4.32,4.8,3.28,5.93,5.32,4.74,4.29,4.73,5.25,4.68,4.58,4.16,4.67,4.2,5.35,4.44,4.97,4.91,4.41,4.33,4.84,5.14,5.78,5.26,6.06,6.4,3.95,5.37,5.92,6.82,6.39,6.12,5.65,5.41,4.88,4.42,4.25,5.73,5.68,6.38,7.17,8.21,7.43,6.71,6.87,7.04,7.31,7.71,7.65,7.3,7.16,7.53,7.54
JS,1.55,1.72,1.66,1.63,1.51,1.47,1.46,1.48,1.47,1.37,1.36,1.43,1.15,2.02,1.91,1.98,2.49,2.42,2.73,2.81,2.63,3.26,1.72,1.69,1.79,1.9,1.66,1.92,1.74,1.74,2.92,2.06,1.78,1.78,1.45,1.61,1.68,1.51,1.27,1.2,1.59,1.7,2.14,1.65,1.64,1.44,1.39,1.78,1.92,1.77,2.04,1.84,1.78,1.51,1.73,1.57,2.19,1.46,2.11,2.02,2.44,2.2,2.31,2.56,1.54,2.98,3.49,3.14,3.07,2.62,2.51,2.58,2.72,2.68,2.93,2.73,2.84,2.33,2.93,2.76,2.89,3.13,2.67,2.93,2.97,3.2,3.54,3.61,3.68,3.55,4.02,3.51,2.81,3,3.03,2.92,3.51,3.36,2.64,2.65,2.47,2.08,2.4,1.66,1.66,1.66,1.51,2.71,2.56,1.87,1.51,1.39,1.5,2.24,1.56,1.47,2.19,2.56,2.2,1.59,2.46,3.39,2.88,2.13,1.47,1.45,1.37,1.33,1.26,1.28,1.32,2.32,1.42,1.37,1.51,1.54,1.65,1.84,2.09,2.01,2.04,2.05,1.85,1.98,1.93,1.9,1.75,1.79,2,1.81,2.17,2.45,1.77,2.09,2.43,1.58,3.51,3.63,3.3,3.13,2.3,2.19,2.16,2.34,2.29,2.47,2.36,3.27,2.2,2.33,2.57,2.34,2.58,2.64,2.71,2.93,2.75,2.71,2.86,2.57,2.87,2.67,2.85,3.07,3.02,2.61,2.1,2.02,3.01,2.97,2.47,2.85,3.16,3.92,3.49,2.92,2.5,2.83,2.41,2.13,2.28,2.66,3.06,3.47,2.85,2.43,2.51,2.69,2.72,2.3,2.26,2.13,2.08,1.93,2.09,3.3,2.06,2.05,2.38,2.68,2.27,2.48,2.87,2.54,2.14,2.03,2.35,2.45,2.27,2.11,2.44,2.45,2.33,2.71,2.95,2.55,2.19,2.66,2.3,2.2,1.83,2.09,2.41,2.12,2.09,1.78,2.4,2.82,2.74,2.74,2.87,2.09,2.52,2.17,2.1,2.44,2.82,3.11,3.29,3.3,2.91,3.21,2.9,2.77,3.17,3.38
Go,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.78,0.92,0.71,0.64,0.6,0.73,0.63,0.55,0.59,1.25,0.71,0.96,0.56,0.49,0.42,0.37,0.48,0.36,0.37,0.36,0.39,0.59,0.28,0.09,0.1,0.1,0.11,0.11,0.12,0.11,0.11,0.11,0.11,0.47,0.11,0.12,0.11,0.11,0.11,0.22,0.51,0.22,0.19,0.21,0.26,0.12,0.32,0.29,0.32,0.42,0.42,0.4,0.37,0.4,0.33,0.33,0.26,0.32,0.3,0.26,0.3,0.03,0.06,0.06,0.08,0.25,0.14,0.2,0.19,0.1,0.29,0.2,0.24,0.25,0.21,0.16,1.27,1.62,1.81,2,1.94,0.16,2.1,1.98,1.97,2.08,2.04,2.36,1.65,1.57,1.36,1.57,1.39,2.33,1.42,1.44,1.18,0.97,0.88,0.97,1,1.08,1.25,1.5,1.19,1.57,0.96,1.02,1.01,1.11,1.26,1.02,0.97,1.22,1.1,0.85,1,1.12,1.13,1.28,1.36,1.27,1.02,1.21,1.43,1.46,1.16,1.36,1.14,0.9,1.28,1.31,1.22,1.22,0.95,1.17,0.9,1.13,1.28,1.21,0.95,1.41,1.23,0.98,1.09,1.11,1.02,1.14,0.96,1.16,1.27,1.15,1.14,1.04,1.11,1.24,1.28,0.99,1,1.07,1.16,1.19,1.37,1.19,1.03,1.38,1.73,1.56
VB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33,0.33,0.32,0.26,0.26,0.59,0.56,0.34,0.48,0.43,0.48,0.46,0.31,0.48,0.53,0.36,0.26,0.8,0.78,0.98,1.27,1.22,0.92,0.88,0.84,0.6,0.77,0.89,0.48,1.01,0.89,1.1,1.13,1.07,1.25,1.32,1.84,1.93,1.97,1.69,1.04,1.8,1.86,1.75,1.26,1.91,1.49,2.01,1.27,1.56,1.66,1.8,1.56,1.72,1.95,2.2,1.89,1.84,1.95,1.78,1.53,1.51,1.68,1.65,1.07,1.86,1.67,1.61,1.83,2.25,2.01,2.05,1.76,1.99,1.92,1.97,1.68,1.88,2.01,2.06,2.35,2.01,2.1,1.81,1.75,1.42,1.49,1.35,1.91,2.18,1.74,1.8,0.91,1.15,0.89,0.92,0.68,0.65,0.85,0.98,2.31,0.99,0.95,1.06,1.32,1.07,1.01,1.02,1.08,1.23,0.96,0.93,1.03,0.6,0.77,4.72,4.18,4.69,5.23,4.66,4.12,3.97,4.01,3.92,0.83,4.33,4.85,4.55,4.02,4.01,4.5,4.67,4.62,5.24,5.72,5.4,3.84,5.23,5.77,5.4,5.86,5.42,4.97,4.9,4.39,3.95,4.11,4.64,4.74,4.14,4.75,4.4,3.84,3.34,2.9,2.63,2.22,2.13,2.1,1.82,1.6,1.52,1.42
SQL,2.96,2.77,2.38,2.36,2.24,1.84,1.87,2.09,2.06,2.33,2.36,2.53,2.66,2.65,2.54,2.64,2.38,2.52,1.94,2.51,2.56,2.65,3.12,3.04,2.99,3.24,3.72,3.7,2.93,3.1,2.56,3.1,2.97,2.44,2.44,2.44,2.44,2.44,2.44,2.44,2.44,2.44,3.51,3.51,3.51,3.51,3.51,3.51,3.51,3.51,3.51,3.51,3.51,3.51,3.51,3.51,3.51,3.51,3.51,3.51,3.51,3.51,3.51,3.51,3.51,3.51,3.51,3.51,3.51,3.51,3.51,3.51,3.51,3.51,3.51,3.51,3.51,3.51,3.51,3.51,3.51,3.51,3.51,3.51,3.51,3.51,3.51,3.51,3.51,3.51,3.51,3.51,3.51,3.51,3.51,3.51,3.51,3.51,3.51,3.51,3.51,3.51,3.51,3.51,3.51,3.51,3.51,3.51,3.51,3.51,3.51,3.51,3.51,3.51,3.51,3.51,3.51,3.51,3.51,3.51,3.51,3.51,3.51,3.51,3.51,3.51,3.51,3.51,3.51,3.51,3.51,3.51,3.51,3.51,3.51,3.51,3.51,3.51,3.51,3.51,3.51,3.51,3.51,3.51,3.51,3.51,3.51,3.51,3.51,3.51,3.51,3.51,3.51,3.51,3.51,3.51,3.51,3.51,3.51,3.51,3.51,3.51,3.51,3.51,3.51,3.51,3.51,3.51,3.51,3.51,3.51,3.51,3.51,3.51,3.51,3.51,3.51,3.51,3.51,3.51,3.51,3.51,3.51,3.51,3.51,3.51,3.51,3.51,3.51,3.51,3.51,3.51,2.36,2.69,2.65,1.99,2.34,2.33,2.32,2.06,2.04,1.84,2.18,2.18,1.9,1.93,2.27,2.56,2.22,1.98,1.63,1.94,1.93,1.69,1.84,2.28,1.53,1.83,2.17,2.09,1.73,1.4,1.46,1.76,1.57,1.54,1.53,1.5,1.72,1.87,1.83,1.71,1.88,1.53,1.47,1.8,2.17,2.11,1.79,1.61,1.55,1.85,2.28,1.87,1.94,1.64,1.67,2.01,1.78,1.82,2.5,1.8,2.12,1.95,1.68,1.48,1.47,1.48,1.53,1.44,1.78,1.88,1.61,1.46,1.82,1.92
Fortran,1.41,1.31,1.46,1.4,1.32,1.29,1.23,1.27,1.27,1.28,1.26,1.28,1.05,1.16,1.14,1.19,1.22,1.24,1.23,1.07,0.96,0.87,0.91,0.94,0.87,0.83,0.73,0.78,0.56,0.54,1.14,0.5,0.51,0.38,0.37,0.34,0.33,0.28,0.37,0.43,0.5,0.52,0.48,0.89,1.05,1.06,0.82,0.79,0.59,0.6,0.64,0.45,0.52,0.48,0.46,0.46,0.43,0.43,0.37,0.39,0.4,0.4,0.39,0.45,0.47,0.52,0.53,0.61,0.63,0.58,0.56,0.46,0.48,0.45,0.6,0.7,0.48,0.25,0.33,0.29,0.29,0.3,0.38,0.38,0.35,0.31,0.31,0.32,0.34,0.36,0.37,0.4,0.4,0.37,0.38,0.38,0.43,0.32,0.38,0.56,0.35,0.41,0.35,0.46,0.46,0.48,0.43,0.39,0.58,0.35,0.39,0.5,0.39,0.35,0.39,0.37,0.38,0.44,0.48,0.46,0.52,0.49,0.4,0.41,0.45,0.45,0.44,0.43,0.42,0.44,0.44,0.43,0.46,0.45,0.41,0.42,0.41,0.41,0.41,0.54,0.47,0.48,0.39,0.46,0.36,0.36,0.35,0.42,0.37,0.38,0.43,0.41,0.39,0.55,0.54,0.41,0.54,0.61,0.6,0.62,0.58,0.77,0.85,0.89,0.84,0.83,0.82,0.27,0.67,0.79,0.76,0.7,0.96,0.94,0.75,0.68,0.74,0.74,0.75,0.85,0.83,0.74,0.8,0.76,0.78,0.86,0.67,0.88,1,0.67,0.66,0.74,0.48,0.46,0.39,0.42,0.32,0.37,0.4,0.42,0.37,0.38,0.48,0.43,0.51,0.47,0.56,0.52,0.48,0.38,0.36,0.36,0.44,0.39,0.39,0.44,0.23,0.29,0.33,0.32,0.27,0.22,0.31,0.36,0.38,0.41,0.45,0.31,0.63,0.83,0.91,0.83,1.07,1.12,1.14,1.01,1.08,1.19,1.04,0.46,0.58,0.39,0.35,0.38,0.55,0.76,0.8,1.03,0.79,0.57,0.45,0.77,0.58,0.79,0.59,0.78,0.99,1.25,1.03,1.28,1.02,1.3,1.07,1.09,1.4,1.22
